Year,Month,Value
1980,1,4
1980,2,2
1980,3,1
1980,4,4
1980,5,9
1980,6,13
1980,7,17
1980,8,13
1980,9,9
1980,10,13
1980,11,7
1980,12,4
1981,1,2
1981,2,6
1981,3,4
1981,4,2
1981,5,2
1981,6,3
1981,7,7
1981,8,11
1981,9,5
1981,10,8
1981,11,4
1981,12,1
1982,1,4
1982,2,0
1982,3,0
1982,4,2
1982,5,3
1982,6,9
1982,7,8
1982,8,9
1982,9,5
1982,10,11
1982,11,11
1982,12,4
1983,1,4
1983,2,0
1983,3,1
1983,4,2
1983,5,5
1983,6,3
1983,7,8
1983,8,8
1983,9,7
1983,10,10
1983,11,10
1983,12,3
1984,1,3
1984,2,1
1984,3,0
1984,4,2
1984,5,2
1984,6,5
1984,7,11
1984,8,11
1984,9,4
1984,10,7
1984,11,4
1984,12,1
1985,1,1
1985,2,3
1985,3,2
1985,4,2
1985,5,4
1985,6,7
1985,7,13
1985,8,6
1985,9,6
1985,10,9
1985,11,4
1985,12,5
1986,1,2
1986,2,0
1986,3,1
1986,4,1
1986,5,4
1986,6,8
1986,7,12
1986,8,10
1986,9,8
1986,10,9
1986,11,6
1986,12,1
1987,1,2
1987,2,2
1987,3,3
1987,4,2
1987,5,1
1987,6,4
1987,7,10
1987,8,5
1987,9,6
1987,10,11
1987,11,5
1987,12,0
1988,1,1
1988,2,2
1988,3,2
1988,4,4
1988,5,1
1988,6,4
1988,7,5
1988,8,5
1988,9,7
1988,10,11
1988,11,4
1988,12,4
1989,1,2
1989,2,1
1989,3,1
1989,4,2
1989,5,5
1989,6,1
1989,7,8
1989,8,8
1989,9,4
1989,10,8
1989,11,6
1989,12,3
1990,1,1
1990,2,1
1990,3,0
1990,4,2
1990,5,5
1990,6,9
1990,7,7
1990,8,8
1990,9,2
1990,10,10
1990,11,7
1990,12,1
1991,1,1
1991,2,4
1991,3,1
1991,4,4
1991,5,3
1991,6,8
1991,7,10
1991,8,6
1991,9,7
1991,10,7
1991,11,5
1991,12,1
1992,1,2
1992,2,5
1992,3,3
1992,4,2
1992,5,4
1992,6,2
1992,7,7
1992,8,6
1992,9,7
1992,10,6
1992,11,6
1992,12,2
1993,1,4
1993,2,3
1993,3,0
1993,4,7
1993,5,3
1993,6,7
1993,7,9
1993,8,12
1993,9,11
1993,10,7
1993,11,8
1993,12,3
1994,1,2
1994,2,4
1994,3,3
1994,4,10
1994,5,2
1994,6,6
1994,7,10
1994,8,9
1994,9,12
1994,10,9
1994,11,3
1994,12,4
1995,1,1
1995,2,5
1995,3,6
1995,4,2
1995,5,5
1995,6,8
1995,7,10
1995,8,8
1995,9,8
1995,10,8
1995,11,8
1995,12,4
1996,1,2
1996,2,1
1996,3,1
1996,4,6
1996,5,8
1996,6,7
1996,7,12
1996,8,8
1996,9,11
1996,10,13
1996,11,10
1996,12,8
1997,1,2
1997,2,2
1997,3,2
1997,4,6
1997,5,5
1997,6,10
1997,7,16
1997,8,15
1997,9,13
1997,10,14
1997,11,19
1997,12,4
1998,1,7
1998,2,4
1998,3,2
1998,4,7
1998,5,10
1998,6,7
1998,7,16
1998,8,25
1998,9,24
1998,10,14
1998,11,10
1998,12,4
1999,1,3
1999,2,3
1999,3,5
1999,4,8
1999,5,6
1999,6,6
1999,7,13
1999,8,12
1999,9,9
1999,10,13
1999,11,8
1999,12,3
2000,1,11
2000,2,10
2000,3,7
2000,4,13
2000,5,12
2000,6,21
2000,7,34
2000,8,20
2000,9,21
2000,10,30
2000,11,11
2000,12,7
2001,1,10
2001,2,7
2001,3,11
2001,4,9
2001,5,14
2001,6,19
2001,7,17
2001,8,21
2001,9,22
2001,10,20
2001,11,10
2001,12,6
2002,1,3
2002,2,3
2002,3,2
2002,4,5
2002,5,13
2002,6,9
2002,7,16
2002,8,25
2002,9,14
2002,10,20
2002,11,13
2002,12,7
2003,1,5
2003,2,5
2003,3,5
2003,4,15
2003,5,7
2003,6,21
2003,7,17
2003,8,14
2003,9,20
2003,10,18
2003,11,18
2003,12,6
2004,1,12
2004,2,7
2004,3,12
2004,4,12
2004,5,8
2004,6,23
2004,7,20
2004,8,24
2004,9,17
2004,10,24
2004,11,14
2004,12,9
2005,1,11
2005,2,13
2005,3,9
2005,4,16
2005,5,8
2005,6,15
2005,7,24
2005,8,21
2005,9,17
2005,10,21
2005,11,13
2005,12,7
2006,1,7
2006,2,2
2006,3,10
2006,4,11
2006,5,7
2006,6,19
2006,7,33
2006,8,18
2006,9,9
2006,10,29
2006,11,23
2006,12,6
2007,1,12
2007,2,6
2007,3,6
2007,4,6
2007,5,4
2007,6,10
2007,7,14
2007,8,21
2007,9,12
2007,10,12
2007,11,15
2007,12,7
2008,1,7
2008,2,4
2008,3,8
2008,4,10
2008,5,11
2008,6,14
2008,7,14
2008,8,25
2008,9,17
2008,10,17
2008,11,14
2008,12,5
2009,1,5
2009,2,9
2009,3,8
2009,4,2
2009,5,9
2009,6,16
2009,7,21
2009,8,15
2009,9,13
2009,10,14
2009,11,10
2009,12,7
2010,1,7
2010,2,3
2010,3,6
2010,4,8
2010,5,9
2010,6,11
2010,7,7
2010,8,16
2010,9,12
2010,10,15
2010,11,14
2010,12,8
2011,1,6
2011,2,7
2011,3,6
2011,4,8
2011,5,10
2011,6,12
2011,7,14
2011,8,19
2011,9,18
2011,10,13
2011,11,14
2011,12,9
2012,1,16
2012,2,6
2012,3,12
2012,4,9
2012,5,17
2012,6,17
2012,7,11
2012,8,12
2012,9,20
2012,10,21
2012,11,27
2012,12,21
2013,1,15
2013,2,7
2013,3,3
2013,4,9
2013,5,11
2013,6,16
2013,7,16
2013,8,10
2013,9,9
2013,10,11
2013,11,16
2013,12,7
2014,1,6
2014,2,6
2014,3,9
2014,4,7
2014,5,9
2014,6,15
2014,7,14
2014,8,12
2014,9,11
2014,10,16
2014,11,11
2014,12,7
2015,1,4
2015,2,2
2015,3,2
2015,4,5
2015,5,8
2015,6,9
2015,7,5
2015,8,9
2015,9,13
2015,10,10
2015,11,13
2015,12,5
2016,1,6
2016,2,3
2016,3,5
2016,4,4
2016,5,7
2016,6,3
2016,7,5
2016,8,6
2016,9,3
2016,10,5
2016,11,6
2016,12,5
2017,1,4
2017,2,3
2017,3,0
2017,4,3
2017,5,2
2017,6,9
2017,7,7
2017,8,7
2017,9,6
2017,10,4
2017,11,3
2017,12,2
2018,1,4
2018,2,0
2018,3,1
2018,4,5
2018,5,3
2018,6,4
2018,7,1
2018,8,3
2018,9,3
2018,10,3
2018,11,5
2018,12,1
